case_id, activity, enable_time, start_time, end_time, resource
42,Sequence A,2023-11-02 17:00:13.402606+00:00,2023-11-02 17:53:15.392007+00:00,2023-11-02 18:01:49.868703+00:00,Default resource profile 1_3
43,Sequence A,2023-11-02 17:01:26.288303+00:00,2023-11-02 17:55:59.346447+00:00,2023-11-02 18:03:56.109650+00:00,Default resource profile 1_4
44,Sequence A,2023-11-02 17:02:36.344758+00:00,2023-11-02 17:59:31.024784+00:00,2023-11-02 18:04:36.592177+00:00,Default resource profile 1_2
45,Sequence A,2023-11-02 17:03:41.263024+00:00,2023-11-02 18:01:49.868703+00:00,2023-11-02 18:10:07.330894+00:00,Default resource profile 1_3
46,Sequence A,2023-11-02 17:05:01.277201+00:00,2023-11-02 18:03:56.109650+00:00,2023-11-02 18:09:30.042798+00:00,Default resource profile 1_4
47,Sequence A,2023-11-02 17:06:02.666600+00:00,2023-11-02 18:04:25.314456+00:00,2023-11-02 18:20:45.196258+00:00,Default resource profile 1_1
48,Sequence A,2023-11-02 17:06:59.373653+00:00,2023-11-02 18:04:36.592177+00:00,2023-11-02 18:15:07.800843+00:00,Default resource profile 1_2
10,Sequence B,2023-11-02 16:42:30.443496+00:00,2023-11-02 18:04:40.255854+00:00,2023-11-02 18:10:07.711013+00:00,Default resource profile 1_0
11,Sequence B,2023-11-02 16:47:17.197599+00:00,2023-11-02 18:10:07.711013+00:00,2023-11-02 18:15:25.009333+00:00,Default resource profile 1_0
12,Sequence B,2023-11-02 16:52:37.452554+00:00,2023-11-02 18:15:25.009333+00:00,2023-11-02 18:20:17.088752+00:00,Default resource profile 1_0
14,Sequence B,2023-11-02 16:53:46.442381+00:00,2023-11-02 18:20:17.088752+00:00,2023-11-02 18:25:07.898684+00:00,Default resource profile 1_0
16,Sequence B,2023-11-02 16:57:29.429077+00:00,2023-11-02 18:25:07.898684+00:00,2023-11-02 18:30:51.118017+00:00,Default resource profile 1_0
18,Sequence B,2023-11-02 16:58:35.151566+00:00,2023-11-02 18:30:51.118017+00:00,2023-11-02 18:36:02.781107+00:00,Default resource profile 1_0
13,Sequence B,2023-11-02 16:58:39.064854+00:00,2023-11-02 18:36:02.781107+00:00,2023-11-02 18:41:18.287019+00:00,Default resource profile 1_0
15,Sequence B,2023-11-02 16:58:41.456873+00:00,2023-11-02 18:41:18.287019+00:00,2023-11-02 18:46:54.606206+00:00,Default resource profile 1_0
17,Sequence B,2023-11-02 17:02:35.857647+00:00,2023-11-02 18:46:54.606206+00:00,2023-11-02 18:51:05.692399+00:00,Default resource profile 1_0
19,Sequence B,2023-11-02 17:07:56.096725+00:00,2023-11-02 18:51:05.692399+00:00,2023-11-02 18:54:43.046621+00:00,Default resource profile 1_0
49,Sequence A,2023-11-02 17:08:05.750920+00:00,2023-11-02 18:09:30.042798+00:00,2023-11-02 18:15:27.492844+00:00,Default resource profile 1_4
50,Sequence A,2023-11-02 17:08:58.731652+00:00,2023-11-02 18:10:07.330894+00:00,2023-11-02 18:18:18.821447+00:00,Default resource profile 1_3
51,Sequence A,2023-11-02 17:09:55.975822+00:00,2023-11-02 18:15:07.800843+00:00,2023-11-02 18:30:16.197541+00:00,Default resource profile 1_2
52,Sequence A,2023-11-02 17:11:12.988287+00:00,2023-11-02 18:15:27.492844+00:00,2023-11-02 18:29:32.572794+00:00,Default resource profile 1_4
53,Sequence A,2023-11-02 17:12:31.298239+00:00,2023-11-02 18:18:18.821447+00:00,2023-11-02 18:30:11.171316+00:00,Default resource profile 1_3
54,Sequence A,2023-11-02 17:13:21.673700+00:00,2023-11-02 18:20:45.196258+00:00,2023-11-02 18:28:41.112999+00:00,Default resource profile 1_1
55,Sequence A,2023-11-02 17:14:26.230179+00:00,2023-11-02 18:28:41.112999+00:00,2023-11-02 18:43:32.700408+00:00,Default resource profile 1_1
